aluguel,condominio,iptu,descricao,endereco,area,qtd_quartos,qtd_vagas,qtd_banheiros
R$ 850,R$ 216,R$ 70,"ALUGA APARTAMENTO NO PAJUÇARA - MARACANAU APARTAMENTO COM AREA PRIVATIVA Próximo ao assai, atacadão, Normatel, Ana Lima, etc. Chegou a sua vez de morar em um apartamento novo. E..."," Rua Luís Gonzaga dos Santos, Pajuçara
","ALUGA APARTAMENTO NO PAJUÇARA - MARACANAU APARTAMENTO COM AREA PRIVATIVA Próximo ao assai, atacadão, Normatel, Ana Lima, etc. Chegou a sua vez de morar em um apartamento novo. E...",2,1.0,1.0
R$ 2.600,R$ 263,,"O apartamento no bairro Edson Queiroz com 54 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros Possui área de fitness, espaço gourmet, espaço jardinado, parquinho infanti..."," Rua Hil de Moraes, Edson Queiroz
", 54 ,2,1.0,2.0
R$ 5.000,R$ 1.800,R$ 592,Já pensou em alugar seu canto em um local tranquilo e ao mesmo tempo próximo de tudo? A 7Cantos oferece uma ótima opção de imóvel para você. Localizado no Edifício Mailson Passared...," Rua da Paz, Mucuripe
", 170 ,3,3.0,3.0
R$ 1.200,R$ 230,R$ 463,Agora você pode morar neste lindo apartamento próximo ao Castelão - sala - 02 quartos - wc social - cozinha Condomínio: - portaria permanente - churrasqueira - deck - playground...," Avenida Juscelino Kubitschek, Passaré
", 48 ,2,1.0,1.0
R$ 1.000,R$ 221,,"-Próximo ao Supermercado Cometa e Praça da MRV. -Semi novo. -Piscina, salão de festas, playground, bicicletário e deck com churrasqueira. -Vaga de garagem. - Apartamento Térreo -..."," Rua B, Maraponga
", 45 ,2,1.0,1.0
R$ 3.100,R$ 358,,"Qualidade de vida faz toda a diferença na hora de procurar um cantinho para acomodar bem a sua família. Por isso, apresentamos um apartamento no bairro Edson Queiroz, local de cons..."," Rua Hil de Moraes, Guararapes
", 70 ,3,2.0,2.0
R$ 3.390,R$ 635,R$ 134,"Imóvel MOBILIADO impecável no coração da Praia de Iracema, a uma quadra da beira mar; *Informações do imóvel: - 74m² - Sala climatizada; - Cozinha com dispensa e mobília completa;..."," Meireles, Fortaleza
", 74 ,3,2.0,2.0
R$ 800,R$ 256,R$ 90,"ALUGA APARTAMENTO NO EUSEBIO Uma das mais procuradas opções no Eusébio O ECO WAY é bem localizado, próximo a posto de gasolina, farmácias, escolas e muito mais. Quer conhecer ?..."," CE-040, Eusebio
", 41 ,2,1.0,1.0
R$ 750,R$ 213,,"Apartamento compacto em condomínio clube à poucos metros da BR 116, via de rápido acesso e próximo ao Supermercado Alfredo. Imóvel pronto para primeira locação, 41m², 2 quartos, sa..."," Barroso, Fortaleza
", 41 ,2,1.0,1.0
R$ 500,R$ 1,R$ 1,"Esta é sua grande chance apartamento de 41,88 m² com 2 dormitórios, 1 banheiro social, sala, cozinha, área de serviço e 1 vaga de garagem . Possui uma iluminação natural incrível v..."," Rua Pedestre C, Parque Guadalajara Jurema
", 42 ,2,,1.0
R$ 900,R$ 1,R$ 1,"Apartamento com 50m² de área construída, 2 dormitórios sendo 1 suíte, sala de estar e jantar, 1 WC, cozinha americana , área de serviço, piso cerâmica, 1 vaga. Condomínio com port..."," São Bento, Fortaleza
", 50 ,2,1.0,1.0
R$ 1.300,R$ 480,R$ 506,"IMOBILIÁRIA FERNANDO FREITAS CRECI 0967-J RUA ALM. RUFINO 1450 - BL. 05 (Aroeira) - APTO 104 - MONTESE. (Cód. 187) - Ótimo apartamento térreo, no Cond. Chácara Paraíso, 70m², 3 q..."," Rua Almirante Rufino, Montese
", 70 ,3,1.0,1.0
R$ 1.000,R$ 255,,"Sobre o imóvel FIGUEIREDO SILVA ALUGAR (FI) => Apartamento no Bairro Messejana - 48 m² => Condomínio Bonavitta ;; Ótima Posição, CARACTERÍSTICAS => 2 Quartos; => 1 Banheiro; =>..."," Rua Dionísio Alencar Filho, Messejana
", 42 ,2,1.0,1.0
R$ 2.800,R$ 508,R$ 70,"Excelente apartamento mobiliado no Guararapes Apartamento funcional com 2 quartos, dois banheiros, sendo uma suíte, varanda, andar alto, nascente, mobiliado, condomínio com academ..."," Avenida Almirante Maximiniano da Fonseca, Engenheiro Luciano Cavalcante
", 55 ,2,2.0,2.0
R$ 1.100,R$ 260,,"O apartamento está localizado no bairro Passaré tem 50 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro Village Noble, Excelente Localização, Avenida Principal. Apartament..."," Avenida Juscelino Kubitschek, Passaré
", 50 ,2,1.0,1.0
R$ 2.200,R$ 750,R$ 135,"Este lindo apartamento de 138 metros quadrados está localizado em frente a um dos principais colégios de Fortaleza (Farias Brito), tornando-o uma escolha ideal para famílias com cr..."," Avenida Júlio Abreu, Meireles
", 138 ,3,2.0,3.0
R$ 800,R$ 80,R$ 1,"Morar ao lado das pessoas que amamos em um ambiente que oferece a oportunidade de viver com qualidade de vida e bastante conforto, agora é possível. Conheça um excelente apartament..."," Rua Joaquim Manuel de Macêdo, Henrique Jorge
", 50 ,2,1.0,1.0
R$ 1.200,,,"Apartamento 1ª locação, próximo ao Parque Del Sol, com 02 quartos, sendo uma suite reversivel , wc, sala, cozinha e área de serviço integrada, 01 vaga de garagem. Prédio com 03 and..."," Rua Francisco Borges Soares, Cidade dos Funcionários
", 43 ,2,1.0,2.0
R$ 1.000,R$ 300,,"Apartamento para Locação, Cond. Justiniana Portela no bairro Icaraí, localizado na cidade de Caucaia / CE, situado na zona Centro, ponto de referência Próx. a Ponte Icaraí, Tabuba...."," Avenida Central, Icarai
", 70 ,3,1.0,3.0
R$ 1.000,R$ 200,R$ 81,"Apartamento em bom estado de conservação, com ótima localização, próximo ao restaurante Chico do Caranguejo Sul e a poucos metros da Av. Washington Soares. 45m² com sala, cozinha,..."," Rua Marcelo Gentil Porto, Engenheiro Luciano Cavalcante
", 45 ,2,1.0,1.0
R$ 2.600,R$ 680,R$ 110,"Vendo ou alugo Apartamento projetado no Gran Parc unidade 1203 excelente coluna!!! Recém reformado!!! Apartamento possui 03 dormitórios, sendo que um foi transformado em closet, a..."," Rua dos Amigos, Cambeba
", 74 ,2,2.0,2.0
R$ 800,R$ 255,,APARTAMENTO NO CONDOMÍNIO MORATTA CLUBE *Apartamento não mobiliado. Uma grande oportunidade para você que procura morar em uma das melhores regiões de Fortaleza. Próximo a aveni...," Rua Artur de Sousa, Mondubim
", 44 ,2,1.0,1.0
R$ 1.600,R$ 1.100,R$ 160,"Apartamento com 3 dormitórios para alugar, 121 m² por R$ 2.860/mês - Dionisio Torres - Fortaleza/CE -"," Avenida Senador Virgílio Távora, Dionísio Torres
", 121 ,3,,1.0
R$ 3.000,O apartamento no bairro Meireles com 60 metros quadrados com 2 quartos sendo 1 suite e 2 banheirosEncontra-se em um  protegido por muros. Elevador que garante o transport...,,O apartamento no bairro Meireles com 60 metros quadrados com 2 quartos sendo 1 suite e 2 banheirosEncontra-se em um condomínio protegido por muros. Elevador que garante o transport...," Rua Deputado Moreira da Rocha, Meireles
", 60 ,2,2.0,2.0
R$ 1.050,R$ 1,R$ 1,"O apartamento no bairro Padre Romualdo tem 65 metros quadrados com 2 quartos e 1 banheiro Possui área verde de jardim, playground, salão para festas e eventos. Vai lhe possibilitar..."," Rua Antônia Batista de Paula Diniz, Padre Romualdo
", 65 ,2,1.0,1.0
R$ 3.600,,,"APARTAMENTO MOBILIADO, VISTA MAR, LOCALIZADO NA PRAIA DE IRACEMA. Apartamento com 70m² de área: Dois dormitórios sendo uma suíte, banheiro social, sala de estar e jantar, cozinha..."," Avenida Historiador Raimundo Girão, Praia de Iracema
", 70 ,2,1.0,2.0
R$ 900,R$ 191,R$ 82,"Apartamento com 2 dormitórios para alugar, 43 m² por R$ 900/mês - Fortaleza/CE. -"," Rua D, Parque Dois Irmãos
", 43 ,2,1.0,1.0
R$ 1.600,R$ 500,,"Excelentes unidades em diversos andares, com guarita, salão de festas, 03 quartos (sendo uma suíte padrão e outra reversível) corredor, armários, cozinha, 01 vaga garagem, 70m². Co..."," Rua Gonçalves Ledo, Praia de Iracema
", 70 ,3,1.0,4.0
R$ 900,R$ 300,R$ 160,"Próximo ao Supermercado Frangolândia da Av Sargento Hermínio, academia, restaurantes, igreja e farmácias. Dispõe de 40m², sala de estar ampla, cozinha, área de serviço, 1 suíte sen..."," Rua José Cândido, Monte Castelo
", 40 ,1,1.0,1.0
R$ 900,R$ 247,,"Apartamento no bairro Dias Macedo, localizado na Av. Alberto Craveiro, próximo à CHESF. Imóvel com 46m², 2 quartos, sendo 1 suíte, sala, cozinha, área de serviço, banheiro social e..."," Dias Macedo, Fortaleza
", 46 ,2,1.0,1.0
R$ 850,R$ 200,R$ 90,"ALUGA APARTAMENTO NO PAJUÇARA - MARACANAU Próximo ao assai, atacadão, Normatel, Ana Lima, etc. Chegou a sua vez de morar em um apartamento novo. Em uma ótima localização, com con..."," Rua Luís Gonzaga dos Santos, Pajuçara
", 41 ,2,1.0,1.0
R$ 1.300,R$ 578,,"Apto com 112m², 3º andar de escada, ampla sala em L, cozinha, dois quartos sendo uma suíte, wc social, área de serviço, dependecia completa, condomínio fechado, 1 vaga de garagem...."," Rua Monsenhor Bruno, Aldeota
", 112 ,2,1.0,4.0
R$ 1.200,,,"Excelente localização, apartamento com 02 quartos, sendo uma suite reversivel , wc, sala, cozinha e área de serviço integrada, 01 vaga de garagem. Prédio com 03 andares, rateio de..."," Rua Francisco Borges Soares, Cidade dos Funcionários
", 43 ,2,1.0,2.0
R$ 800,,,"Apartamento de 03 quartos, sendo 01 suíte, banheiro social, sala ampla, cozinha. 01 vaga de garagem -"," Travessa Siqueira, Parque Sao Jose
", 60 ,3,1.0,2.0
R$ 710,R$ 180,,"Gois imobiliaria aluga: apartamento reformado na av padre Pedro de Alencar n°805, arejado, gradeado e em ótima localização ao lado da regional de messejana. apartamento com 02 qua..."," Rua Padre Pedro de Alencar, Messejana
", 60 ,2,1.0,1.0
R$ 850,R$ 50,,"Apartamento dispõe de 60m², sala, cozinha americana, 2 quartos sendo 1 suíte, banheiro social, área de serviço 1 vaga de garagem sujeita a disponibilidade. Localizado a 3 quadras d..."," Rua Alberto Montezuma, Vila União
", 60 ,2,1.0,2.0
R$ 1.200,R$ 400,,"1 SUÍTES, CONDOMINIO 400R$, 1 GARAGEM, 1 BANHEIRO SOCIAL, 1 BANHEIRO SUÍTE,COZINHA,DEPENDÊNCIA DE EMPREGADA, 2 QUARTO(S), ÁREA (M²) 130 m²,SALA DE ESTAR"," Rua Frei Mansueto, Mucuripe
", 130 ,3,,4.0
R$ 1.109,"O apartamento está localizado no bairro Centro com 50 metros quadrados com 2 quartos e 1 banheiro, Além disso segurança 24 horas.Está em um  protegido por grades. Agende...",,"O apartamento está localizado no bairro Centro com 50 metros quadrados com 2 quartos e 1 banheiro, Além disso segurança 24 horas.Está em um condomínio protegido por grades. Agende..."," Rua Senador Alencar, Centro
", 50 ,2,1.0,1.0
R$ 580,R$ 260,R$ 204,"Localizado próximo a Avenida Mister Hull, Escola EEMTI José Maria Pontes da Rocha, Assaí Atacadista, Escola Passo a Passo do Saber, Lagoa do Tabapua, Posto de Saúde George Benevide..."," Tabapuã, Caucaia
", 45 ,2,1.0,1.0
R$ 800,R$ 280,,"Apartamento dispõe de 43m², sala de estar, cozinha, 2 quartos, banheiro social, área de serviço e 1 vaga de garagem. Localizado a 1 quadra da Avenida Juaci Sampaio Pontes, próximo..."," Rua João Forte, Padre Romualdo
", 43 ,2,1.0,1.0
R$ 900,,,"SALA, 02 QUARTOS, 01 SUITE, COZINHA, VARANDA SOCIAL, AREA DE SERVIÇO, DEPENDÊNCIA, 02 VAGAS NA GARAGEM. PROXIMO AO RESTAURANTE CARAVELLE."," Avenida Luciano Carneiro, Vila União
","SALA, 02 QUARTOS, 01 SUITE, COZINHA, VARANDA SOCIAL, AREA DE SERVIÇO, DEPENDÊNCIA, 02 VAGAS NA GARAGEM. PROXIMO AO RESTAURANTE CARAVELLE.",3,2.0,4.0
R$ 550,,,"Localizado próximo ao colégio Professor César Campelo, Igreja Jerusalém, com fácil acesso ao supermercado Solmar Super, Caixa Econômica Federal, Academia Top Up Fitness e outras co..."," Rua 1064, Granja Portugal
", 50 ,1,,1.0
R$ 1.600,R$ 500,,"Excelente localização, com 03 quartos (Sendo 01 suíte,02 com armários), sala, wc social, cozinha americana com armários, área de serviço, 01 vaga. condomínio com guarita elevada, r..."," Rua Fiuza de Pontes, Aldeota
", 60 ,3,,3.0
R$ 700,R$ 197,,"Localizado próximo a Av. Dom Almeida Lustosa, Hospital e Maternidade Santa Terezinha, Shopping Jurema, Lojas Americanas, Cagece, supermercado OfertãoMax Atacarejo, Av. São Vicente..."," Avenida Central, Araturi Jurema
", 47 ,2,1.0,1.0
R$ 1.700,R$ 500,,"Excelente localização, com 03 quartos (Sendo 01 suíte,02 com armários), sala, wc social, cozinha americana com armários, área de serviço, 01 vaga. condomínio com guarita elevada, r..."," Rua Fiuza de Pontes, Aldeota
", 60 ,3,1.0,3.0
R$ 4.650,R$ 1.086,R$ 364,"O apartamento está localizado no bairro Parque Iracema tem 126 metros quadrados com 2 quartos sendo 2 suites e 3 banheiros Possui área de fitness, área de recreação infantil, jardi..."," Rua Evaristo da Veiga, Messejana
", 126 ,2,2.0,3.0
R$ 150 /dia,,,"Apartamento completo de tudo sendo 02 quartos : 01 suite com cama casal com ar/c , 01 quarto com cama casal com Ar/c e com banheiro social ; cozinha completa, tv, internet wifi ...."," Rua Barão de Aracati, Meireles
", 56 ,2,1.0,2.0
R$ 1.150,R$ 89,,"Condomínio Residencial Jardim das Palmeiras Rua 4 (Conjunto Arvoredo), nº 402, Mondubim Ponto de referência: Próximo ao Balão do Mondubim, Madeireira São João e a aproximadamente 5..."," Rua 4, Mondubim
", 47 ,2,1.0,1.0
R$ 3.000,R$ 781,,"Excelente apartamento em ótima localização, próximo ao Helena's Buffet, totalmente mobiliado, com 2 quartos sendo 1 suíte com closet, 2 wcs sociais, varanda gourmet, cozinha americ..."," Rua Doutor Francisco Gadelha, Cocó
", 75 ,3,2.0,4.0
R$ 700,R$ 330,,"Apartamento no Tabapuá de 47m² com 2 quartos, 1wc social, sala, cozinha americana, varanda, 1 vaga de garagem fixa, portaria 24h. End. Rua Um, 363 Apto 242 BL 01 - Parque Tabapuá..."," Tabapuã, Caucaia
", 47 ,2,1.0,1.0
R$ 900,R$ 260,,"ARRAIS IMOBILIÁRIA Aluga:(RA) => Apartamento no Bairro VILA UNIAO - 70m² => ED. TEREZA D`AVILA Rua Esperanto, nº 1847 CARACTERÍSTICAS => 3 Quartos, => 1 Suíte; => 2 Banheiros Sen..."," Vila União, Fortaleza
", 70 ,3,1.0,2.0
R$ 1.000,,R$ 77,"Este apartamento é uma ótima opção para quem busca praticidade e comodidade, pois está localizado em um bairro próximo a vários serviços essenciais. Ao entrar no apartamento, você..."," Avenida Alberto Craveiro, Dias Macedo
", 60 ,2,1.0,1.0
R$ 600,,,"O apartamento está localizado no bairro Bonsucesso possui 44 metros quadrados com 2 quartos e 1 banheiro Possui área de brinquedo para as crianças, área verde de jardim. Vai lhe po..."," Rua Bias Mendes, Bonsucesso
", 44 ,2,1.0,1.0
R$ 3.300,R$ 697,R$ 169,"- Edifício Alta Vista Dunas - Imóvel com desconto de 300 reais aplicado no aluguel recentemente, aproveite a oferta por tempo limitado !!! Localizado na Rua Francisco Moreira, n..."," Rua Francisco Moreira, Manoel Dias Branco
", 78 ,3,2.0,3.0
R$ 2.089,R$ 328,,"(P-500) More com qualidade, more no Edifício Cidade! O empreendimento possui 32 andares que fazem do Edifício Cidade o mais alto de Fortaleza, tendo todos as unidades iniciando no..."," Rua Guilherme Rocha, Centro
", 65 ,3,2.0,2.0
R$ 2.000,R$ 300,R$ 50,"Adriano Freire Imóveis aluga apartamento no Condomínio Villa Dunas. Apartamento mobiliado com 1 quarto, sala, varanda, cozinha, área de serviço e 1 vaga de garagem. O Condomín..."," Avenida Meduza, Porto das Dunas
", 45 ,1,1.0,1.0
R$ 1.100,R$ 256,R$ 300,"Apto todo projetado, com fino acabamento, área privativa 55 m², 2 quartos, sendo 1 suíte, 1 vaga de garagem, área de lazer com piscina. Portaria Virtual, central de gás, playground..."," Paumirim, Caucaia
", 55 ,2,1.0,2.0
R$ 2.650,,,"O apartamento no bairro Cambeba possui 66 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro Possui academia, espaço gourmet, jardim, área de recreação infantil, salão para..."," Rua dos Amigos, Cambeba
", 66 ,3,2.0,1.0
R$ 1.280,,,"IMPERDÍVEL - AP NOVO E MOBILIADO NA LAGOA SECA! O Residencial Santorini é perfeito para morar com praticidade, segurança e conforto! Confira os detalhes: - Ap Mobiliado - Cozinha..."," Rua Vital Lisboa Santos, Jardim Gonzaga
", 38 ,1,1.0,1.0
R$ 900,R$ 282,,"O apartamento com 2 quartos, 1 banheiro, sala, cozinha americana, area de serviço, 1 vaga de garagem, Condominio Aimara Residence, salao de festas, churrassqueira, playground, area..."," Rua Farias Lemos, Messejana
","O apartamento com 2 quartos, 1 banheiro, sala, cozinha americana,  de serviço, 1 vaga de garagem, Condominio Aimara Residence, salao de festas, churrassqueira, playground, ...",2,1.0,1.0
R$ 1.600,R$ 500,,"Excelentes unidades em diversos andares, com guarita, salão de festas, 03 quartos (sendo uma suíte padrão e outra reversível) corredor, armários, cozinha, 01 vaga garagem, 70m². Co..."," Rua Gonçalves Ledo, Praia de Iracema
", 70 ,3,1.0,4.0
R$ 2.400,R$ 799,,"Apartamento mobiliado no Condominio Beach Village localizado na Praia do Futuro, unidade com 02 quartos, vista mar , 01 vaga na garagem. Prontinho para ser o seu novo lar. -"," Avenida Zezé Diogo, Vicente Pinzon
", 63 ,2,1.0,2.0
R$ 809,,,"Apartamentos em excelente localização na Rua Princesa Isabel n°27 no Centro, próximo a Estação e o Metrofor disponível para locação! Valor 809,00 já incluso condominio iptu agua p..."," Rua Princesa Isabel, Centro
", 50 ,1,1.0,1.0
R$ 2.200,R$ 440,R$ 85,"Localização: Avenida Almirante Maximiniano da Fonseca 421 - Luciano Cavalcante ( Ao lado da Unifor, Fa7, Fórum, Iguatemi ) Características: Ap com 45m², possuindo 1 quartos sendo..."," Avenida Almirante Maximiniano da Fonseca, Engenheiro Luciano Cavalcante
", 45 ,1,1.0,1.0
R$ 1.000,R$ 300,R$ 86,"Excelente apartamento novo, primeira locação, localizado no bairro Coaçu, a poucos metros da Av. Washington Soares, ao lado do Atacadão Eusébio! Possui 41m² de área, com sala, co..."," Alameda Verde, Coacu
", 41 ,2,1.0,1.0
R$ 400 /dia,,,"TRAPICHE CONDOMINIUM - Mucuripe. Apartamento com 3 quartos. Aluguel mensal ou temporada. APARTAMENTO DE ALTO PADRÃO MOBILIADO, LINDA VISTA, LOCALIZADO NA AV. BEIRA MAR. Apartamen..."," Avenida Beira Mar, Beira Mar
", 160 ,3,1.0,4.0
R$ 1.100,R$ 340,,"Excelente apartamento e em ótima locação com 76m2, 3 quartos, sendo duas suítes, sala ampla, cozinha ampla, área de serviços, todo reformado, 2º andar, duas vagas de garagem, 100%..."," Avenida Doutor Silas Munguba, Passaré
", 76 ,3,2.0,2.0
R$ 3.500,R$ 1.025,R$ 161,"O apartamento no bairro Aldeota possui 135 metros quadrados com 3 quartos sendo 3 suites e 5 banheiros Possui área de recreação infantil, salão de festas, área verde de jardim. Vai..."," Rua Eduardo Garcia, Aldeota
", 135 ,3,2.0,5.0
R$ 700,,,"1ª Locação - Excelente apartamento na Caucaia com 01 suíte, 01 dormirtorio, wc social, sala, varanda, cozinha, área de serviço, 01 vaga."," Rua Maria de Lourdes, Camurupim
", 54 ,2,,2.0
R$ 800,R$ 150,,"Apartamento dispõe de 70 m², sala, cozinha americana, 2 quartos sendo 1 suíte, banheiro social e área de serviço. Localizado a 3 quadras da Avenida José Bastos, próximo ao Banco do..."," Rua Coronel Nunes de Melo, Rodolfo Teófilo
", 70 ,2,,2.0
R$ 900,,,AG BEZERRA IMÓVEIS www.agbezerra.com.br WhatsApp: ( 8 8 ) 9 9 3 7 6 8586 (Corretor Tibério Bezerra) WhatsApp: ( 8 8 ) 2 1 3 1 8114 (Corretora Dimona Azevedo) Apartamento amplo...," Avenida Padre Cícero, Sao Miguel
", 60 ,2,,2.0
R$ 2.300,R$ 550,R$ 70,"Adriano Freire Imóveis aluga Cobertura no Condomínio Residencial Macedo I Cobertura com 4 quartos (sendo 2 suítes), sala com 4 ambientes, cozinha, banheiro social, dependência de..."," Rua José Rangel, Papicu
", 220 ,4,2.0,3.0
R$ 700,,R$ 215,"AP1329 - Imobiliária Luiz Rêgo aluga apartamento de 2 quartos e 1 vaga, próximo ao Castelão, com: sala / 2 quartos / banheiro social / cozinha / área de serviço / 1 vaga / sem tax..."," Avenida Alberto Craveiro, Castelão
", 46 ,2,1.0,1.0
R$ 800,R$ 450,R$ 313,"Apartamento dispõe de 86,74m², sala ampla, cozinha revestida com armários, 3 quartos com armários sendo 1 suíte, banheiro social, área de serviço, banheiro de serviço e 1 vaga de g..."," Monte Castelo, Fortaleza
", 87 ,3,1.0,2.0
R$ 900,R$ 350,,"IMOBILIÁRIA FERNANDO FREITAS CRECI 0967-J Eusébio Apto NOVO 52m², 02 Quartos, sendo 1 suíte, Sala, Cozinha americana, Varanda, Condomínio com salão de festas, Piscina, Society. A..."," Avenida Brasília, Centro
", 52 ,2,1.0,1.0
R$ 1.059,R$ 137,,"(J-440) Apartamento novinho no condomínio Conquista Eusébio localizado na Rua Gentil Monte e Silva. O apartamento possui 2 quartos sendo 1 suíte, sala, cozinha, 2 banheiros e área..."," Rua Gentil Monte Silva, Tamatanduba
", 42 ,2,1.0,2.0
R$ 3.084,R$ 589,R$ 127,"Conheça esse excelente condomínio situado no bairro de Meireles, a 100m do aterro da Praia de Iracema. Condomínio com três torres distribuídas harmonicamente e completa infraestrut..."," Rua Barão de Aracati, Meireles
", 56 ,2,1.0,2.0
R$ 1.000,R$ 300,R$ 83,"Edifício Berlin - Papicu Condomínio com ótima localização, próximo ao Shopping Riomar Fortaleza e Hospital HGF Muito bem servido com escolas, restaurantes, bancos, supermercados...."," Vicente Pinzon, Fortaleza
", 65 ,2,1.0,2.0
R$ 500,R$ 250,,"O apartamento está localizado no bairro Tabapuá tem 60 metros quadrados com 2 quartos e 1 banheiro Possui jardim, espaço gourmet. Vai lhe possibilitar praticar diversos esportes na..."," Rua 9, Tabapuã
", 60 ,2,1.0,1.0
R$ 2.500,,,"Excelente apartamento no Mucuripe com 75m², área de lazer com piscina, quadra esportiva, salão de festas, jardim, área privativa contendo: living, varanda, 03 quartos sendo 02 suít..."," Avenida da Abolição, Mucuripe
", 77 ,4,2.0,6.0
R$ 850,R$ 194,,"Apartamento com 48m² de área construída, no 5º andar, composto por: sala, 02 quartos(sendo uma suíte), wc social, cozinha americana, área de serviço e 01 vaga de garagem. Área de..."," Rua Júlio Alcides, Maraponga
", 48 ,2,1.0,1.0
R$ 2.500,R$ 530,R$ 78,"Este apartamento de 1 quarto é realmente maravilhoso e oferece uma ótima experiência de moradia. Ele é composto por uma suíte com guarda-roupa planejado, proporcionando um excelent..."," Rua Doutor Batista de Oliveira, Cocó
", 38 ,1,1.0,1.0
R$ 140 /dia,,,Flat mensal e temporada e venda WhatsApp," Avenida Antônio Justa, Meireles
", 43 ,1,1.0,1.0
R$ 4.200,R$ 847,R$ 521,"Apartamento SEMI NOVO com 113m2, 3 suítes (1 reversível), sala, varanda gourmet e varanda nas suítes, cozinha, área de serviço e dependência completa. ARMÁRIOS na cozinha, na área..."," Rua Frei Mansueto, Mucuripe
", 113 ,3,3.0,4.0
R$ 1.200,R$ 219,,"Excelente Apartamento na Messejana com 3 quartos sendo 1 suíte, Sala, Cozinha, Área de serviço e 1 vaga de garagem. Condomínio Fechado com Área de Lazer, Quadra poliesportiva, Salã..."," Rua José Cavalcante Sobrinho, Messejana
", 70 ,3,1.0,2.0
R$ 650,,R$ 80,"Ótimo apartamento na Maraponga, todo na cerâmica. 2 quartos, sala com cozinha americana, wc social,1 vaga na garagem. Localizado na Travessa Marambaia, próximo às avenidas Bernard..."," Travessa Marambaia, Mondubim
", 42 ,2,1.0,1.0
R$ 1.500,"Apartamento para alugar bairro montese 40,67m² por R$ 1.500,00/mês em Incluso agua e , 01 andar com escada, sala, cozinha com lavanderia, 02 quartos sendo 01 suíte, 02 ba...",R$ 94,"Apartamento para alugar bairro montese 40,67m² por R$ 1.500,00/mês em Incluso agua e condomínio, 01 andar com escada, sala, cozinha com lavanderia, 02 quartos sendo 01 suíte, 02 ba..."," Rua Dulcinéia Gondim, Montese
", 47 ,2,,2.0
R$ 1.280,R$ 460,R$ 400,"Deseja morar em um local confortável, com área de lazer e condomínio acessível? Este apartamento fica no Edifício Amadeu Bezerra, localizado em uma rua tranquila, a 100m da Avenida..."," Rua Oscar Bezerra, Damas
", 67 ,3,1.0,2.0
R$ 700,,,"1ª Locação - 01 suíte, 01 dormirtorio, wc social, sala, varanda, cozinha, área de serviço, 01 vaga."," Rua Maria A. de Lourdes, Camurupim
", 54 ,2,1.0,2.0
R$ 3.500,R$ 900,R$ 240,"Soho Residence, Apt com 91,75 m², 03 quartos, sendo 2 suítes, WC na área de serviço, varanda gourmet e 2 vagas de garagem. Um condominio com Lazer Completo, com Quadra Poliesportiv..."," Rua Maria Odalea Pires da Silva, Edson Queiroz
", 91 ,3,2.0,3.0
R$ 600,R$ 365,,"O apartamento está localizado no bairro Jacarecanga com 87 metros quadrados com sala, 2 quartos, 2 banheiros, cozinha, área de serviço e 1 vaga."," Avenida Francisco Sá, Jacarecanga
", 87 ,2,1.0,2.0
R$ 1.005,R$ 180,,PARA MAIORES INFORMAÇÕES SOMENTE PELO WHATSAPP APARTAMENTO PRONTO NO BAIRRO MARAPONGA E CONDOMÍNIO PISCINA E DECK COM CHURRASQUEIRA !! PORTARIA ELETRÔNICA 24 HS ÁREA CONSTRUÍDA...," Rua José Meneleu, Itaperi
", 65 ,3,1.0,2.0
R$ 800,,,"Excelente apartamento no coração do José de Alencar, proximo a Avenida Maestro Lisboa, 50m², living, 2 quartos (sendo 1 suite reversivel), WC social, cozinha, área de serviço, área..."," Rua Maximino, JOSE DE ALENCAR
", 50 ,2,1.0,2.0
R$ 2.200,R$ 580,R$ 656,"APARTAMENTO MOBILIADO PARA LOCAÇÃO OU VENDA NO MEIRELES - REF 10715 (ED. BISCAYNE PLACE) Lindo apartamento mobiliado com 68m², com sala, varanda, 3 quartos, sendo 1 suíte com v..."," Rua Nunes Valente, Meireles
", 68 ,3,2.0,1.0
R$ 1.049,R$ 360,,"(F-600) Oferta imperdível!! Primeira locação de apartamento de 63,11m de área privativa e 77,775m de área total, com 3 quartos, sendo 2 suítes, gabinete, 2 vagas de garagem. Condom..."," Rua Ezequiel Campinas, Tamatanduba
", 63 ,3,2.0,2.0
R$ 2.400,R$ 826,R$ 1.182,"Apartamento dispõe de 75m², sala ampla, varanda em extensão, cozinha americana projetada, 3 quartos sendo 1 suíte, banheiro social, área de serviço e 2 vagas de garagem. Localizado..."," Rua Doutor Gilberto Studart, Cocó
", 75 ,3,2.0,2.0
R$ 1.600,R$ 850,R$ 90,"APARTAMENTO PARA LOCAÇÃO BAIRRO COCÓ - REF 10633 (ED. ORIENTE) O imóvel de 114m², conta com sala de estar e jantar, possui 3 quartos, sendo 2 suítes, banheiro social, cozinha,..."," Rua Doutor Gilberto Studart, Cocó
", 114 ,3,1.0,3.0
R$ 1.050,,,"Excelente apartamento disponível para locação na Rua Rosa Leite de Oliveira, com uma localização privilegiada, próximo a escolas, supermercados, farmácias, restaurantes e diversas..."," Rua Rosa Leite Oliveira, Jardim Iracema
", 60 ,2,,2.0
